age,breeder,category,certificate,cleaned_strings,description,details,gender,gpt_dict,image_path,image_url,in_stock,length_cm,length_inches,link,multiple_fish,out_of_stock,price,sku,split,tags,tags_from_category,tags_from_title,tags_list,title,uuid,variety,source
,Isa,Group_Koi,,"['14""', '(36cm)', 'Female', 'Showa', '[Isa]', '2025WINTER-012']",,,Female,,champkoi_data/87e22e_A_14_(36cm)_Female_Showa_[Isa]_—_2025WINTER-012.jpg,https://cdn.shopify.com/s/files/1/0749/6132/2296/files/2025WINTER-012_600x_89d42e80-4415-4004-a91d-310bbd9db6ea.jpg?v=1736538283,False,36cm,"14""",https://www.champkoi.com/products/2025winter-012,True,True,450.0,9689837273400,"['A:', '14""', '(36cm)', 'Female', 'Showa', '[Isa]', '—', '2025WINTER-012']",['Showa'],,,['Showa'],"A: 14"" (36cm) Female Showa [Isa] — 2025WINTER-012",87e22e,"A: 14"" (36cm) Female Showa [Isa]",champkoi
,Isa,Group_Koi,,"['14""', '(36cm)', 'Male', 'Showa', '[Isa]', '2025WINTER-014']",,,Male,,champkoi_data/188b5a_A_14_(36cm)_Male_Showa_[Isa]_—_2025WINTER-014.jpg,https://cdn.shopify.com/s/files/1/0749/6132/2296/files/2025WINTER-014_600x_0057d35a-d656-433c-b110-c40df79132e1.jpg?v=1736538433,True,36cm,"14""",https://www.champkoi.com/products/2025winter-014,True,False,450.0,9689846350136,"['A:', '14""', '(36cm)', 'Male', 'Showa', '[Isa]', '—', '2025WINTER-014']",['Showa'],,,['Showa'],"A: 14"" (36cm) Male Showa [Isa] — 2025WINTER-014",188b5a,"A: 14"" (36cm) Male Showa [Isa]",champkoi
,Isa,Group_Koi,,"['13""', '(33cm)', 'Male', 'Showa', '[Isa]', '2025WINTER-015']",,,Male,,champkoi_data/911317_A_13_(33cm)_Male_Showa_[Isa]_—_2025WINTER-015.jpg,https://cdn.shopify.com/s/files/1/0749/6132/2296/files/2025WINTER-015_600x_39812567-4548-4e5b-b032-c9284dffc353.jpg?v=1736538497,True,33cm,"13""",https://www.champkoi.com/products/2025winter-015,True,False,450.0,9689850118456,"['A:', '13""', '(33cm)', 'Male', 'Showa', '[Isa]', '—', '2025WINTER-015']",['Showa'],,,['Showa'],"A: 13"" (33cm) Male Showa [Isa] — 2025WINTER-015",911317,"A: 13"" (33cm) Male Showa [Isa]",champkoi
,Isa,Group_Koi,,"['14""', '(36cm)', 'Female', 'Showa', '[Isa]', '2025WINTER-016']",,,Female,,champkoi_data/dd27e7_A_14_(36cm)_Female_Showa_[Isa]_—_2025WINTER-016.jpg,https://cdn.shopify.com/s/files/1/0749/6132/2296/files/2025WINTER-016_600x_d970732b-bce2-421d-bce7-73e36e7acfe3.jpg?v=1736538556,False,36cm,"14""",https://www.champkoi.com/products/2025winter-016,True,True,450.0,9689853329720,"['A:', '14""', '(36cm)', 'Female', 'Showa', '[Isa]', '—', '2025WINTER-016']",['Showa'],,,['Showa'],"A: 14"" (36cm) Female Showa [Isa] — 2025WINTER-016",dd27e7,"A: 14"" (36cm) Female Showa [Isa]",champkoi
,Marusaka,Group_Koi,,"['14""', '(36cm)', 'Male', 'Kohaku', '[Marusaka]', '2025WINTER-017']",,,Male,,champkoi_data/de2cb4_A_14_(36cm)_Male_Kohaku_[Marusaka]_—_2025WINTER-017.jpg,https://cdn.shopify.com/s/files/1/0749/6132/2296/files/2025WINTER-017_600x_78d134b8-40a6-4213-9d00-e1eb7d15ab9b.jpg?v=1736540653,False,36cm,"14""",https://www.champkoi.com/products/2025winter-017,True,True,450.0,9689970475320,"['A:', '14""', '(36cm)', 'Male', 'Kohaku', '[Marusaka]', '—', '2025WINTER-017']","['Kohaku', 'Shiro Utsuri', 'Shusui']",,,"['Kohaku', 'Shiro Utsuri', 'Shusui']","A: 14"" (36cm) Male Kohaku [Marusaka] — 2025WINTER-017",de2cb4,"A: 14"" (36cm) Male Kohaku [Marusaka]",champkoi
,Marusaka,Group_Koi,,"['13""', '(33cm)', 'Male', 'Beni', 'Kikokuryu', '[Marusaka]', '2025WINTER-018']",,,Male,,champkoi_data/14bfe4_A_13_(33cm)_Male_Beni_Kikokuryu_[Marusaka]_—_2025WINTER-018.jpg,https://cdn.shopify.com/s/files/1/0749/6132/2296/files/2025WINTER-018_600x_2b99a09c-666e-4ab8-9fb1-afd16eab43dd.jpg?v=1736540779,False,33cm,"13""",https://www.champkoi.com/products/2025winter-018,True,True,450.0,9689977225528,"['A:', '13""', '(33cm)', 'Male', 'Beni', 'Kikokuryu', '[Marusaka]', '—', '2025WINTER-018']","['Beni Kikokuryu', 'Ginrin Hariwake', 'Yamabuki']",,,"['Beni Kikokuryu', 'Ginrin Hariwake', 'Yamabuki']","A: 13"" (33cm) Male Beni Kikokuryu [Marusaka] — 2025WINTER-018",14bfe4,"A: 13"" (33cm) Male Beni Kikokuryu [Marusaka]",champkoi
,Taniguchi,Group_Koi,,"['13""', '(33cm)', 'Female', 'Golden', 'Corn', '[Taniguchi]', '2025WINTER-019']",,,Female,,champkoi_data/a693e1_A_13_(33cm)_Female_Golden_Corn_[Taniguchi]_—_2025WINTER-019.jpg,https://cdn.shopify.com/s/files/1/0749/6132/2296/files/2025WINTER-019_600x_364ea50c-e7d6-48e4-85cc-f0b20b2bd343.jpg?v=1736540894,False,33cm,"13""",https://www.champkoi.com/products/2025winter-019,True,True,450.0,9689983418680,"['A:', '13""', '(33cm)', 'Female', 'Golden', 'Corn', '[Taniguchi]', '—', '2025WINTER-019']","['Beni Kikokuryu', 'Doitsu Showa', 'Golden Corn']",,,"['Beni Kikokuryu', 'Doitsu Showa', 'Golden Corn']","A: 13"" (33cm) Female Golden Corn [Taniguchi] — 2025WINTER-019",a693e1,"A: 13"" (33cm) Female Golden Corn [Taniguchi]",champkoi
,Marusaka,Group_Koi,,"['14""', '(36cm)', 'Male', 'Doitsu', 'Showa', '[Marusaka]', '2025WINTER-021']",,,Male,,champkoi_data/a7584e_A_14_(36cm)_Male_Doitsu_Showa_[Marusaka]_—_2025WINTER-021.jpg,https://cdn.shopify.com/s/files/1/0749/6132/2296/files/2025WINTER-021_600x_c9d32397-6380-4192-a844-4a2f2ff13363.jpg?v=1736541961,False,36cm,"14""",https://www.champkoi.com/products/2025winter-021,True,True,450.0,9690037780792,"['A:', '14""', '(36cm)', 'Male', 'Doitsu', 'Showa', '[Marusaka]', '—', '2025WINTER-021']","['Doitsu Hariwake', 'Doitsu Showa', 'Ginrin Hariwake']",,,"['Doitsu Hariwake', 'Doitsu Showa', 'Ginrin Hariwake']","A: 14"" (36cm) Male Doitsu Showa [Marusaka] — 2025WINTER-021",a7584e,"A: 14"" (36cm) Male Doitsu Showa [Marusaka]",champkoi
,Maruhiro,Group_Koi,,"['15""', '(38cm)', 'Female', 'Hi', 'Utsuri', '[Maruhiro]', '2025WINTER-022']",,,Female,,champkoi_data/9e58fa_A_15_(38cm)_Female_Hi_Utsuri_[Maruhiro]_—_2025WINTER-022.jpg,https://cdn.shopify.com/s/files/1/0749/6132/2296/files/2025WINTER-022_600x_d8363ab6-7a23-46ec-9dc5-a1b13bbf6987.jpg?v=1736542473,True,38cm,"15""",https://www.champkoi.com/products/2025winter-022,True,False,450.0,9690063438136,"['A:', '15""', '(38cm)', 'Female', 'Hi', 'Utsuri', '[Maruhiro]', '—', '2025WINTER-022']","['Ginrin Chagoi', 'Hi Utsuri', 'Kikokuryu', 'Showa']",,,"['Ginrin Chagoi', 'Hi Utsuri', 'Kikokuryu', 'Showa']","A: 15"" (38cm) Female Hi Utsuri [Maruhiro] — 2025WINTER-022",9e58fa,"A: 15"" (38cm) Female Hi Utsuri [Maruhiro]",champkoi
,Marusho,Group_Koi,,"['14-15""', '(36-38cm)', 'Karasugoi', '[Marusho]', '2025WINTER-024']",,,,,champkoi_data/228287_A_14-15_(36-38cm)_Karasugoi_[Marusho]_—_2025WINTER-024.jpg,https://cdn.shopify.com/s/files/1/0749/6132/2296/files/2025WINTER-024_600x_c6816d15-5462-422c-8b04-7335e5a58f45.jpg?v=1736542748,False,36-38cm,"14-15""",https://www.champkoi.com/products/2025winter-024,True,True,450.0,9690077430072,"['A:', '14-15""', '(36-38cm)', 'Karasugoi', '[Marusho]', '—', '2025WINTER-024']",['Karasugoi'],,,['Karasugoi'],"A: 14-15"" (36-38cm) Karasugoi [Marusho] — 2025WINTER-024",228287,"A: 14-15"" (36-38cm) Karasugoi [Marusho]",champkoi
