tags,count
All Hikari Koi,1017
Hikarimoyo,842
Butterfly Koi,795
Hariwake,304
Kujaku,301
Gin,274
Rin,261
Gosanke,261
Kohaku,258
Sanke,234
Hikarimuji,208
Doitsu,196
Showa,179
Matsuba,136
Butterfly,133
Utsuri,113
Oranda,103
Kikusui,97
Ogon,95
Kawarimono,91
Kikokuryu,86
Yamato Nishiki,85
Bekko,80
Kin Kikokuryu,77
Beni,69
Shusui,68
Tancho,60
Yamabuki,60
Hi,54
Shiro,51
Asagi and Shusui,49
Featured Goldfish,48
Ryukin,48
Ochiba,46
Goromo,44
Utsurimono,44
Heisei Nishiki,44
Chagoi,43
Benigoi,41
Platinum Ogon,39
Goshiki,37
Ranchu,37
Nishiki,37
Ochiba Shigure,36
Yamato,33
Orenji Ogon,32
Asagi,32
Aka Bekko,32
Kumonryu,31
Heisei Nishik,29
Fantail,28
Koromo,28
Hi Utsuri,28
Ki,28
Shiro Bekko,27
Platinum,26
Soragoi,23
Kin,22
Butterfly Tail,21
Aokiya,20
Shubunkin,19
Aka,19
Pearlscale,19
Metallic,18
Yellow,15
Yamabuk,15
Karashigoi,15
Kigoi,14
Maruten,14
Aragoke,13
Bubble Eye,12
Orenji,12
Pearl,11
Goldfish,10
Dragon,9
Shiro Utsuri,9
Ginrin,8
Ikarashi,8
Kinsui,8
Ginga,8
Ki Bekko,7
Ki Utsuri,7
Sarasa Comet,6
Mukashi,6
Wakin,6
Kogane,6
Ozumi,6
Matsukawabake,6
Nezu,6
Hajiro,5
Albino,4
Ai,4
Diamond,4
Beni Matsukawabakke,3
Kaneko,3
Black,3
Sumi,3
Hikari,3
Heisei,2
sanke,2
Fancy,2
Matsukawabakke,2
Toro,2
Red,2
Kage,2
Lemon,2
Jumbo,2
Matsukawabaki,2
Fukasawa,2
Tail,2
Sakura,2
Karasu,2
Toshi,2
Mizuho,2
Ogan,2
Flower,1
"Flannel""",1
Zakura,1
Scaled,1
showa,1
Cream,1
Hisei,1
Kikisui,1
Karsugoi,1
"Top""",1
Back,1
lbs,1
Other Tancho,1
"Tie""",1
HI,1
7MM,1
Professional,1
Nijikawa,1
Hutsuri,1
Aigoromo,1
Kabuto,1
Copper,1
rin,1
RIn,1
Pellet-44,1
Cha,1
Saragoi,1
Gi,1
"Penny""",1
Muji,1
Gold Crown,1
Root,1
Beer,1
Hesei,1
