uuid,sku,variety,title,price,in_stock,link,category,tags,image_url,image_path,split,cleaned_strings,length_cm,length_inches,gender,breeder,tags_list
87e22e,9689837273400,"A: 14"" (36cm) Female Showa [Isa]","A: 14"" (36cm) Female Showa [Isa] — 2025WINTER-012",450.0,False,https://www.champkoi.com/products/2025winter-012,Group_Koi,['Showa'],https://cdn.shopify.com/s/files/1/0749/6132/2296/files/2025WINTER-012_600x_89d42e80-4415-4004-a91d-310bbd9db6ea.jpg?v=1736538283,champkoi_data/87e22e_A_14_(36cm)_Female_Showa_[Isa]_—_2025WINTER-012.jpg,"['A:', '14""', '(36cm)', 'Female', 'Showa', '[Isa]', '—', '2025WINTER-012']","['14""', '(36cm)', 'Female', 'Showa', '[Isa]', '2025WINTER-012']",36cm,"14""",Female,Isa,['Showa']
188b5a,9689846350136,"A: 14"" (36cm) Male Showa [Isa]","A: 14"" (36cm) Male Showa [Isa] — 2025WINTER-014",450.0,True,https://www.champkoi.com/products/2025winter-014,Group_Koi,['Showa'],https://cdn.shopify.com/s/files/1/0749/6132/2296/files/2025WINTER-014_600x_0057d35a-d656-433c-b110-c40df79132e1.jpg?v=1736538433,champkoi_data/188b5a_A_14_(36cm)_Male_Showa_[Isa]_—_2025WINTER-014.jpg,"['A:', '14""', '(36cm)', 'Male', 'Showa', '[Isa]', '—', '2025WINTER-014']","['14""', '(36cm)', 'Male', 'Showa', '[Isa]', '2025WINTER-014']",36cm,"14""",Male,Isa,['Showa']
911317,9689850118456,"A: 13"" (33cm) Male Showa [Isa]","A: 13"" (33cm) Male Showa [Isa] — 2025WINTER-015",450.0,True,https://www.champkoi.com/products/2025winter-015,Group_Koi,['Showa'],https://cdn.shopify.com/s/files/1/0749/6132/2296/files/2025WINTER-015_600x_39812567-4548-4e5b-b032-c9284dffc353.jpg?v=1736538497,champkoi_data/911317_A_13_(33cm)_Male_Showa_[Isa]_—_2025WINTER-015.jpg,"['A:', '13""', '(33cm)', 'Male', 'Showa', '[Isa]', '—', '2025WINTER-015']","['13""', '(33cm)', 'Male', 'Showa', '[Isa]', '2025WINTER-015']",33cm,"13""",Male,Isa,['Showa']
dd27e7,9689853329720,"A: 14"" (36cm) Female Showa [Isa]","A: 14"" (36cm) Female Showa [Isa] — 2025WINTER-016",450.0,False,https://www.champkoi.com/products/2025winter-016,Group_Koi,['Showa'],https://cdn.shopify.com/s/files/1/0749/6132/2296/files/2025WINTER-016_600x_d970732b-bce2-421d-bce7-73e36e7acfe3.jpg?v=1736538556,champkoi_data/dd27e7_A_14_(36cm)_Female_Showa_[Isa]_—_2025WINTER-016.jpg,"['A:', '14""', '(36cm)', 'Female', 'Showa', '[Isa]', '—', '2025WINTER-016']","['14""', '(36cm)', 'Female', 'Showa', '[Isa]', '2025WINTER-016']",36cm,"14""",Female,Isa,['Showa']
de2cb4,9689970475320,"A: 14"" (36cm) Male Kohaku [Marusaka]","A: 14"" (36cm) Male Kohaku [Marusaka] — 2025WINTER-017",450.0,False,https://www.champkoi.com/products/2025winter-017,Group_Koi,"['Kohaku', 'Shiro Utsuri', 'Shusui']",https://cdn.shopify.com/s/files/1/0749/6132/2296/files/2025WINTER-017_600x_78d134b8-40a6-4213-9d00-e1eb7d15ab9b.jpg?v=1736540653,champkoi_data/de2cb4_A_14_(36cm)_Male_Kohaku_[Marusaka]_—_2025WINTER-017.jpg,"['A:', '14""', '(36cm)', 'Male', 'Kohaku', '[Marusaka]', '—', '2025WINTER-017']","['14""', '(36cm)', 'Male', 'Kohaku', '[Marusaka]', '2025WINTER-017']",36cm,"14""",Male,Marusaka,"['Kohaku', 'Shiro Utsuri', 'Shusui']"
14bfe4,9689977225528,"A: 13"" (33cm) Male Beni Kikokuryu [Marusaka]","A: 13"" (33cm) Male Beni Kikokuryu [Marusaka] — 2025WINTER-018",450.0,False,https://www.champkoi.com/products/2025winter-018,Group_Koi,"['Beni Kikokuryu', 'Ginrin Hariwake', 'Yamabuki']",https://cdn.shopify.com/s/files/1/0749/6132/2296/files/2025WINTER-018_600x_2b99a09c-666e-4ab8-9fb1-afd16eab43dd.jpg?v=1736540779,champkoi_data/14bfe4_A_13_(33cm)_Male_Beni_Kikokuryu_[Marusaka]_—_2025WINTER-018.jpg,"['A:', '13""', '(33cm)', 'Male', 'Beni', 'Kikokuryu', '[Marusaka]', '—', '2025WINTER-018']","['13""', '(33cm)', 'Male', 'Beni', 'Kikokuryu', '[Marusaka]', '2025WINTER-018']",33cm,"13""",Male,Marusaka,"['Beni Kikokuryu', 'Ginrin Hariwake', 'Yamabuki']"
a693e1,9689983418680,"A: 13"" (33cm) Female Golden Corn [Taniguchi]","A: 13"" (33cm) Female Golden Corn [Taniguchi] — 2025WINTER-019",450.0,False,https://www.champkoi.com/products/2025winter-019,Group_Koi,"['Beni Kikokuryu', 'Doitsu Showa', 'Golden Corn']",https://cdn.shopify.com/s/files/1/0749/6132/2296/files/2025WINTER-019_600x_364ea50c-e7d6-48e4-85cc-f0b20b2bd343.jpg?v=1736540894,champkoi_data/a693e1_A_13_(33cm)_Female_Golden_Corn_[Taniguchi]_—_2025WINTER-019.jpg,"['A:', '13""', '(33cm)', 'Female', 'Golden', 'Corn', '[Taniguchi]', '—', '2025WINTER-019']","['13""', '(33cm)', 'Female', 'Golden', 'Corn', '[Taniguchi]', '2025WINTER-019']",33cm,"13""",Female,Taniguchi,"['Beni Kikokuryu', 'Doitsu Showa', 'Golden Corn']"
a7584e,9690037780792,"A: 14"" (36cm) Male Doitsu Showa [Marusaka]","A: 14"" (36cm) Male Doitsu Showa [Marusaka] — 2025WINTER-021",450.0,False,https://www.champkoi.com/products/2025winter-021,Group_Koi,"['Doitsu Hariwake', 'Doitsu Showa', 'Ginrin Hariwake']",https://cdn.shopify.com/s/files/1/0749/6132/2296/files/2025WINTER-021_600x_c9d32397-6380-4192-a844-4a2f2ff13363.jpg?v=1736541961,champkoi_data/a7584e_A_14_(36cm)_Male_Doitsu_Showa_[Marusaka]_—_2025WINTER-021.jpg,"['A:', '14""', '(36cm)', 'Male', 'Doitsu', 'Showa', '[Marusaka]', '—', '2025WINTER-021']","['14""', '(36cm)', 'Male', 'Doitsu', 'Showa', '[Marusaka]', '2025WINTER-021']",36cm,"14""",Male,Marusaka,"['Doitsu Hariwake', 'Doitsu Showa', 'Ginrin Hariwake']"
9e58fa,9690063438136,"A: 15"" (38cm) Female Hi Utsuri [Maruhiro]","A: 15"" (38cm) Female Hi Utsuri [Maruhiro] — 2025WINTER-022",450.0,True,https://www.champkoi.com/products/2025winter-022,Group_Koi,"['Ginrin Chagoi', 'Hi Utsuri', 'Kikokuryu', 'Showa']",https://cdn.shopify.com/s/files/1/0749/6132/2296/files/2025WINTER-022_600x_d8363ab6-7a23-46ec-9dc5-a1b13bbf6987.jpg?v=1736542473,champkoi_data/9e58fa_A_15_(38cm)_Female_Hi_Utsuri_[Maruhiro]_—_2025WINTER-022.jpg,"['A:', '15""', '(38cm)', 'Female', 'Hi', 'Utsuri', '[Maruhiro]', '—', '2025WINTER-022']","['15""', '(38cm)', 'Female', 'Hi', 'Utsuri', '[Maruhiro]', '2025WINTER-022']",38cm,"15""",Female,Maruhiro,"['Ginrin Chagoi', 'Hi Utsuri', 'Kikokuryu', 'Showa']"
228287,9690077430072,"A: 14-15"" (36-38cm) Karasugoi [Marusho]","A: 14-15"" (36-38cm) Karasugoi [Marusho] — 2025WINTER-024",450.0,False,https://www.champkoi.com/products/2025winter-024,Group_Koi,['Karasugoi'],https://cdn.shopify.com/s/files/1/0749/6132/2296/files/2025WINTER-024_600x_c6816d15-5462-422c-8b04-7335e5a58f45.jpg?v=1736542748,champkoi_data/228287_A_14-15_(36-38cm)_Karasugoi_[Marusho]_—_2025WINTER-024.jpg,"['A:', '14-15""', '(36-38cm)', 'Karasugoi', '[Marusho]', '—', '2025WINTER-024']","['14-15""', '(36-38cm)', 'Karasugoi', '[Marusho]', '2025WINTER-024']",36-38cm,"14-15""",,Marusho,['Karasugoi']
338341,9689732579640,"A: 14"" (36cm) Female Kin Showa [Takatatsu]","A: 14"" (36cm) Female Kin Showa [Takatatsu] — 2025WINTER-001",600.0,True,https://www.champkoi.com/products/2025winter-001,Group_Koi,"['Aragoke', 'Kin Showa']",https://cdn.shopify.com/s/files/1/0749/6132/2296/files/2025WINTER-001_600x_066cdfb6-4757-44f3-8c08-9d57945cf3b8.jpg?v=1736536515,champkoi_data/338341_A_14_(36cm)_Female_Kin_Showa_[Takatatsu]_—_2025WINTER-001.jpg,"['A:', '14""', '(36cm)', 'Female', 'Kin', 'Showa', '[Takatatsu]', '—', '2025WINTER-001']","['14""', '(36cm)', 'Female', 'Kin', 'Showa', '[Takatatsu]', '2025WINTER-001']",36cm,"14""",Female,Takatatsu,"['Aragoke', 'Kin Showa']"
