image_path,tags,uuid,length,price_length,cleaned_price
champkoi_data/18f755_A_32_Female_Kohaku_[Nogami]_—_2023FALL-109.jpg,['Kohaku'],18f755,32.0,7,14000.0
gckoi_data/d9a7dbc_HIGH_QUALITY_SAKAI_BLOODLINE_TANCHO_KOHAKU_24”_FEMALE_#D.jpg,"['kohaku', 'koi', 'Marukyu', 'nisai']",d9a7dbc,24.0,6,3500.0
gckoi_data/88ec869_ISA_KOHAKU_GUARANTEE_FEMALE_WITH_CERTIFICATE_21.5.jpg,"['isa', 'kohaku', 'koi', 'nisai']",88ec869,21.5,6,2500.0
gckoi_data/3a7df4e_DAINICHI_3SAI_FEMALE_KOHAKU_27_CERTIFICATE.jpg,"['dainichi', 'fall 2024', 'kohaku', 'koi', 'sansai']",3a7df4e,27.0,6,3800.0
gckoi_data/cb26670_DAINICHI_BLOODLINE_KOHAKU_20”.jpg,"['dainichi', 'fall 2024', 'kohaku', 'koi', 'nisai', 'yoshino']",cb26670,20.0,5,600.0
gckoi_data/8f46546_DAINICHI_BLOODLINE_MARUTEN_KOHAKU_18”.jpg,"['dainichi', 'fall 2024', 'kohaku', 'koi', 'nisai', 'yoshino']",8f46546,18.0,6,1500.0
gckoi_data/1c880e6_DAINICHI_BLOODLINE_SHOWA_16”_FEMALE.jpg,"['dainichi', 'fall 2024', 'koi', 'nisai', 'showa', 'yoshino']",1c880e6,16.0,5,750.0
gckoi_data/743ba36_DAINICHI_BLOODLINE_SHOWA_17”_FEMALE.jpg,"['dainichi', 'fall 2024', 'koi', 'nisai', 'sanke', 'yoshino']",743ba36,17.0,5,750.0
gckoi_data/912e50e_DAINICHI_BLOODLINE_TANCHO_SHOWA_19.jpg,"['fall 2024', 'koi', 'nisai', 'showa', 'suzusei']",912e50e,19.0,5,800.0
gckoi_data/e9349c2_DANICHI_BLOODLINE_SHOWA_18”.jpg,"['dainichi', 'fall 2024', 'koi', 'nisai', 'showa', 'yoshino']",e9349c2,18.0,5,600.0
gckoi_data/527c7ac_KOSHIJI_TANCHO_SHOWA_#1.jpg,"['fall 2024', 'koi', 'KOSHIJI', 'nisai', 'showa']",527c7ac,18.0,6,1200.0
gckoi_data/036d8e0_OMOSAKO_MARUTEN_KUJAKU_18.jpg,"['fall 2024', 'koi', 'KUJAKU', 'nisai', 'omosako']",036d8e0,18.0,6,1000.0
gckoi_data/d491822_SUPER_RARE_HIGH_QUALITY_ISA_KANOKO_SHOWA_18”.png,"['fall 2024', 'isa', 'koi', 'nisai', 'showa']",d491822,18.0,6,3500.0
grandkoi_data/12a49e_High Quality Gin Rin Showa- SOLD.jpeg,"['Gin', 'Rin', 'Showa']",12a49e,32.0,10,34999.0
grandkoi_data/9ac3a8_High Quality Gin Rin showa- SOLD.jpeg,"['Gin', 'Rin', 'showa']",9ac3a8,32.0,10,34999.0
grandkoi_data/adf84d_Karashigoi.jpeg,['Karashigoi'],adf84d,36.0,10,32999.0
grandkoi_data/a0b886_Doitsu Kogane Ochiba- SOLD.jpeg,"['Doitsu', 'Kogane', 'Ochiba']",a0b886,31.0,10,24999.0
grandkoi_data/6674d3_Doitsu Kogane Ochiba- SOLD.jpeg,"['Doitsu', 'Kogane', 'Ochiba']",6674d3,31.0,10,24999.0
grandkoi_data/66c804_Gin Rin Karashigoi.jpeg,"['Gin', 'Rin', 'Karashigoi']",66c804,28.0,9,6999.0
grandkoi_data/34353c_Gin Rin Benigoi.jpeg,"['Gin', 'Rin', 'Benigoi']",34353c,25.0,9,4999.0
grandkoi_data/f0cfb8_Ki Matsuba.jpeg,"['Ki', 'Matsuba']",f0cfb8,34.0,10,24999.0
grandkoi_data/0bd576_Hi Utsuri.jpeg,"['Hi', 'Utsuri']",0bd576,31.0,9,7999.0
grandkoi_data/b1c670_Tancho Sanke.jpeg,"['Tancho', 'Sanke']",b1c670,22.0,9,3499.0
grandkoi_data/58e2f4_Tancho Sanke.jpeg,"['Tancho', 'Sanke']",58e2f4,22.0,9,2999.0
grandkoi_data/9cd58f_Gin Rin Tancho Goshiki.jpeg,"['Gin', 'Rin', 'Tancho', 'Goshiki']",9cd58f,21.0,9,3999.0
grandkoi_data/64c486_Tancho Goshiki.jpeg,"['Tancho', 'Goshiki']",64c486,26.0,9,4999.0
grandkoi_data/fa49a7_Gin Rin Showa.jpeg,"['Gin', 'Rin', 'Showa']",fa49a7,17.0,7,699.0
grandkoi_data/3096cf_Gin Rin Showa.jpeg,"['Gin', 'Rin', 'Showa']",3096cf,17.0,9,1299.0
grandkoi_data/cd37fa_Shiro Utsuri.jpeg,"['Shiro', 'Utsuri']",cd37fa,25.0,9,5999.0
grandkoi_data/b8d841_Doitsu Kogane Ochiba.jpeg,"['Doitsu', 'Kogane', 'Ochiba']",b8d841,18.0,7,999.0
grandkoi_data/15d172_Beni Kumonryu.jpeg,"['Beni', 'Kumonryu']",15d172,22.0,9,1499.0
grandkoi_data/f42319_Gin Rin Maruten Showa.jpeg,"['Gin', 'Rin', 'Maruten', 'Showa']",f42319,24.0,9,3499.0
grandkoi_data/45d859_Gin Rin Showa.jpeg,"['Gin', 'Rin', 'Showa']",45d859,15.0,7,649.0
grandkoi_data/699f56_Gin Rin Showa.jpeg,"['Gin', 'Rin', 'Showa']",699f56,17.0,7,999.0
grandkoi_data/59e818_Gin Rin Showa.jpeg,"['Gin', 'Rin', 'Showa']",59e818,18.0,7,899.0
grandkoi_data/c1bdaa_Gin Rin Showa.jpeg,"['Gin', 'Rin', 'Showa']",c1bdaa,17.0,7,749.0
grandkoi_data/6f8dfb_Gin Rin Showa.jpeg,"['Gin', 'Rin', 'Showa']",6f8dfb,17.0,7,799.0
grandkoi_data/daa25a_Gin Rin Showa.jpeg,"['Gin', 'Rin', 'Showa']",daa25a,16.0,7,799.0
