tags,count
Gin,274
Rin,261
Showa,179
showa,1
Karashigoi,15
Doitsu,196
Kogane,6
Ochiba,46
Benigoi,41
Ki,28
Matsuba,136
Hi,54
Utsuri,113
Tancho,60
Sanke,234
Goshiki,37
Shiro,51
Beni,69
Kumonryu,31
Maruten,14
Hariwake,304
Jumbo,2
Kage,2
Back,1
Diamond,4
Kohaku,258
Kujaku,301
Red,2
Chagoi,43
Asagi,32
Platinum,26
Kawarimono,91
Black,3
Matsukawabake,6
Gi,1
Saragoi,1
Kin,22
Cha,1
Sumi,3
Goromo,44
Shusui,68
Aka,19
Yamabuki,60
HI,1
Kikokuryu,86
Kigoi,14
sanke,2
rin,1
Copper,1
Kabuto,1
Ginrin,8
Mizuho,2
Ogan,2
Hutsuri,1
Nijikawa,1
Professional,1
7MM,1
Pellet-44,1
lbs,1
Aigoromo,1
Yamato,33
Nishiki,37
Butterfly,133
"Penny""",1
Nezu,6
Ogon,95
Soragoi,23
Lemon,2
Hikari,3
Bekko,80
Muji,1
Kikusui,97
Kinsui,8
Root,1
Beer,1
Aragoke,13
Orenji,12
"Tie""",1
Shubunkin,19
Goldfish,10
Fancy,2
Tail,2
"Top""",1
Hesei,1
RIn,1
Kikisui,1
Flower,1
Heisei,2
Metallic,18
Karsugoi,1
Cream,1
Hisei,1
"Flannel""",1
Toro,2
Asagi and Shusui,49
Imported Koi,1582
Koi,1582
Single Fish,1871
Single Koi,1582
Gosanke,261
All Hikari Koi,1017
Hikarimoyo,842
Aka Bekko,32
Shiro Bekko,27
Fantail,28
Goldfish For Sale,289
Imported Goldfish,289
Single Goldfish,289
"""Crystal's Featured Fish""",280
Featured Goldfish,48
Bubble Eye,12
Ryukin,48
Butterfly Koi,795
Hikarimuji,208
Yamato Nishiki,85
Heisei Nishik,29
Kin Kikokuryu,77
Platinum Ogon,39
Yamabuk,15
Ochiba Shigure,36
Heisei Nishiki,44
Koromo,28
Hi Utsuri,28
Utsurimono,44
Ki Utsuri,7
Orenji Ogon,32
Oranda,103
Ki Bekko,7
Gold Crown,1
Shiro Utsuri,9
Hajiro,5
Butterfly Tail,21
Other Tancho,1
Wakin,6
Beni Matsukawabakke,3
Pearlscale,19
Ranchu,37
Matsukawabakke,2
Sarasa Comet,6
"4-5"" Koi & Butterfly Koi",143
Ai,4
Albino,4
Mukashi,6
Yellow,15
Ginga,8
Aokiya,20
Kaneko,3
Matsukawabaki,2
Fukasawa,2
Ikarashi,8
Ozumi,6
Karasu,2
Toshi,2
Pearl,11
Scaled,1
Zakura,1
Sakura,2
Dragon,9
