uuid,sku,title,price,in_stock,link,description,category,tags,image_url,image_path,gpt_dict,breeder,length_inches,gender,certificate,age,multiple_fish
9718985,8428729860265,"GENJIRO GOSANKE 7""-9""",95.0,True,https://gckoi.com/products/genjiro-gosanke-7-9,"Breeder: Genjiro Kohaku, Sanke and ShowaSize: 7”-9""Sex: uncheck",,"['genjiro', 'kohaku', 'koi', 'sanke', 'showa', 'tosai']",https://cdn.shopify.com/s/files/1/0565/8830/4553/files/27121dfd-2f81-4d9e-99b6-4c96b20240cb2.jpg?v=1741467655,gckoi_data/9718985_GENJIRO_GOSANKE_7-9.jpg,"{'breeder': 'Genjiro', 'length_inches': '7”-9""', 'gender': '', 'certificate': False, 'age': '', 'multiple_fish': True}",Genjiro,"7”-9""",,False,,True
d9a7dbc,7856409346217,HIGH QUALITY SAKAI BLOODLINE TANCHO KOHAKU 24” FEMALE #D,3500.0,True,https://gckoi.com/products/high-quality-sakai-bloodline-tancho-kohaku-24-5-female-d,Breeder: MarukyuSize: 3sai 24”Sex: female,,"['kohaku', 'koi', 'Marukyu', 'nisai']",https://cdn.shopify.com/s/files/1/0565/8830/4553/files/IMG_2717.jpg?v=1701568533,gckoi_data/d9a7dbc_HIGH_QUALITY_SAKAI_BLOODLINE_TANCHO_KOHAKU_24”_FEMALE_#D.jpg,"{'breeder': 'Marukyu', 'length_inches': '24""', 'gender': 'female', 'certificate': False, 'age': '3sai', 'multiple_fish': False}",Marukyu,"24""",female,False,3sai,False
00d04b3,8291399860393,"HIROI DOITSU SANKE-SHOWA-TANCHO OCHIBA 14""-16""",600.0,False,https://gckoi.com/products/hiroi-doitsu-sanke-showa-tancho-ochiba-14-16,"*SHIP END OF NOVEMBER*Breeder: HiroiSex: 4 females 3 malesSize: 2sai 14""-16""",Koi,"['fall 2024', 'HIROI', 'koi', 'nisai', 'ochiba', 'sanke', 'showa']",https://cdn.shopify.com/s/files/1/0565/8830/4553/files/A_a36f6c31-9499-42c1-b81d-372180a6df16.png?v=1728363125,gckoi_data/00d04b3_HIROI_DOITSU_SANKE-SHOWA-TANCHO_OCHIBA_14-16.png,"{'breeder': 'Hiroi', 'length_inches': '14""-16""', 'gender': '', 'certificate': False, 'age': '2sai', 'multiple_fish': True}",Hiroi,"14""-16""",,False,2sai,True
564bc0a,8305083449513,IKARASHI MIX BOWL #1,600.0,False,https://gckoi.com/products/ikarashi-mix-bowl-1,"*SHIP END OF NOVEMBER*Breeder: IkarashiSex: 5 Females 2 MalesSize: 16""-17""Age: 2sai",,"['Beni Kikokuryu', 'fall 2024', 'ikarashi', 'koi', 'KUJAKU', 'nisai', 'ochiba', 'SHUSUI']",https://cdn.shopify.com/s/files/1/0565/8830/4553/files/C_f7e0cdfb-438d-42d2-8e80-c3b050ccc444.png?v=1730282667,gckoi_data/564bc0a_IKARASHI_MIX_BOWL_#1.png,"{'breeder': 'Ikarashi', 'length_inches': '16""-17""', 'gender': '', 'certificate': False, 'age': '2sai', 'multiple_fish': True}",Ikarashi,"16""-17""",,False,2sai,True
88ec869,7993174229161,"ISA KOHAKU GUARANTEE FEMALE WITH CERTIFICATE 21.5""",2500.0,True,https://gckoi.com/products/isa-showa-grow-out-contest-46-certificate,"Breeder: Isa with certificateSize: 21.5""Sex: female",,"['isa', 'kohaku', 'koi', 'nisai']",https://cdn.shopify.com/s/files/1/0565/8830/4553/files/b518bd60-98a3-48b0-bf6f-3afa49b9ac35.jpg?v=1735362318,gckoi_data/88ec869_ISA_KOHAKU_GUARANTEE_FEMALE_WITH_CERTIFICATE_21.5.jpg,"{'breeder': 'Isa', 'length_inches': '21.5""', 'gender': 'female', 'certificate': True, 'age': '', 'multiple_fish': False}",Isa,"21.5""",female,True,,False
85dbb78,7900105244841,"IZUMIYA HIGHER QUALITY SANKE 7""-8”",90.0,True,https://gckoi.com/products/izumiya-sanke-7-8,"DEALER SELECT - SHIP FEBRUARY 2025Breeder: IzumiyaSize: 7”-8""Sex: uncheck",,"['izumiya', 'koi', 'sanke', 'tosai']",https://cdn.shopify.com/s/files/1/0565/8830/4553/files/623c13a7-c82a-47d3-88fe-229755955b48.jpg?v=1734071516,gckoi_data/85dbb78_IZUMIYA_HIGHER_QUALITY_SANKE_7-8”.jpg,"{'breeder': 'Izumiya', 'length_inches': '7”-8""', 'gender': '', 'certificate': False, 'age': '', 'multiple_fish': True}",Izumiya,"7”-8""",,False,,True
668bff6,8341966520489,"IZUMIYA HIGHER QUALITY SHOWA 7""-8”",95.0,True,https://gckoi.com/products/izumiya-higher-quality-sanke-7-8-copy,"DEALER SELECT -  PHOTO AND VIDEO ARE SAMPLEBreeder: IzumiyaSize: 7”-8""Sex: uncheck",,"['izumiya', 'koi', 'showa', 'tosai']",https://cdn.shopify.com/s/files/1/0565/8830/4553/files/07c5bc8d-2ecc-4488-b214-0d6c261874c7.jpg?v=1734111171,gckoi_data/668bff6_IZUMIYA_HIGHER_QUALITY_SHOWA_7-8”.jpg,"{'breeder': 'Izumiya', 'length_inches': '7”-8""', 'gender': '', 'certificate': False, 'age': '', 'multiple_fish': True}",Izumiya,"7”-8""",,False,,True
d725aec,8341741207721,"IZUMIYA MUKASHI 7""-8”",70.0,True,https://gckoi.com/products/izumiya-yamabuki-7-8-copy,"DEALER SELECT - SHIP FEBRUARY 2025Breeder: IzumiyaSize: 7”-8""Sex: uncheck",KOI,"['izumiya', 'koi', 'MUKASHI', 'tosai']",https://cdn.shopify.com/s/files/1/0565/8830/4553/files/29c7b177-cf6f-4f89-aef2-8b6777199ea6.jpg?v=1734067266,gckoi_data/d725aec_IZUMIYA_MUKASHI_7-8”.jpg,"{'breeder': 'Izumiya', 'length_inches': '7”-8""', 'gender': '', 'certificate': False, 'age': '', 'multiple_fish': True}",Izumiya,"7”-8""",,False,,True
a8329a1,7872868516009,"IZUMIYA YAMABUKI 7""-8”",80.0,True,https://gckoi.com/products/izumiya-yamabuki-tosai-7-8,"Breeder: IzumiyaSize: 7”-8""Sex: uncheck",KOI,"['izumiya', 'koi', 'tosai', 'yamabuki']",https://cdn.shopify.com/s/files/1/0565/8830/4553/files/8ad01e78-dc73-462d-89d5-f0be588763c4.jpg?v=1734066746,gckoi_data/a8329a1_IZUMIYA_YAMABUKI_7-8”.jpg,"{'breeder': 'Izumiya', 'length_inches': '7”-8""', 'gender': '', 'certificate': False, 'age': '', 'multiple_fish': True}",Izumiya,"7”-8""",,False,,True
9a65c00,8428745326761,"KANNO METALLIC MIX 5""-8""",60.0,True,https://gckoi.com/products/kanno-metallic-mix-5-8,"Breeder: Kanno Metallic with some Doitsu GosankeSize: 5""-8""Sex: uncheck",,"['kanno', 'koi', 'tosai']",https://cdn.shopify.com/s/files/1/0565/8830/4553/files/a9b5fd5e-3acf-4bde-b2c7-be6e078ad7a3.jpg?v=1741468339,gckoi_data/9a65c00_KANNO_METALLIC_MIX_5-8.jpg,"{'breeder': 'Kanno', 'length_inches': '5""-8""', 'gender': '', 'certificate': False, 'age': '', 'multiple_fish': True}",Kanno,"5""-8""",,False,,True
683a8d3,7900047442089,"KONISHI HIGH-QUALITY SUPER CLEAN KARASHI 7""-9” *LIMITED STOCK*",175.0,False,https://gckoi.com/products/konishi-high-quality-karashigoi-7-8,"*SHIP IN FEB 2025*SUPER CLEAN HIGH-QUALITY. DEALER SELECT FROM 35PCS IN THE VIDEOSize: 7”-9""  Sex: uncheck",,"['karashi', 'koi', 'KONISHI', 'tosai']",https://cdn.shopify.com/s/files/1/0565/8830/4553/files/konishi2.jpg?v=1736391928,gckoi_data/683a8d3_KONISHI_HIGH-QUALITY_SUPER_CLEAN_KARASHI_7-9”_LIMITED_STOCK.jpg,"{'breeder': '', 'length_inches': '7”-9""', 'gender': '', 'certificate': False, 'age': '', 'multiple_fish': True}",,"7”-9""",,False,,True
03329ff,8291399041193,"KOSHIJI MIX BOWL 7""-9""",80.0,True,https://gckoi.com/products/marudo-karashi-8-11,"DEALER SELECT - SHIP IN JANUARY 2025Breeder: Koshiji Tosai Mix: Doitsu Gosanke, Ginrin Showa, Kikusui, Yamato, Beni-Kikokuryu, Metalic Ochiba, Goshiki, Pearl Soragoi and a few KawarigoiSize: 1sai 7""-9""Sex: uncheck",,"['Beni Kikokuryu', 'goshiki', 'kohaku', 'koi', 'KOSHIJI', 'ochiba', 'sanke', 'showa', 'soragoi', 'tosai']",https://cdn.shopify.com/s/files/1/0565/8830/4553/files/38630f9c-154f-4ca6-9df1-a527b5e94a6e.jpg?v=1734150570,gckoi_data/03329ff_KOSHIJI_MIX_BOWL_7-9.jpg,"{'breeder': 'Koshiji', 'length_inches': '7""-9""', 'gender': '', 'certificate': False, 'age': '1sai', 'multiple_fish': True}",Koshiji,"7""-9""",,False,1sai,True
b8a0d76,7830424944809,"KOSHIJI SHOWA 18""-20"" BOWL #1",800.0,False,https://gckoi.com/products/koshiji-showa-15-17-3,"Breeder: KOSHIJI (KASE)Sex: uncheck Size: 2sai 18""-20""",,"['fall 2024', 'koi', 'KOSHIJI', 'nisai', 'showa']",https://cdn.shopify.com/s/files/1/0565/8830/4553/files/IMG_0176.jpg?v=1733448691,gckoi_data/b8a0d76_KOSHIJI_SHOWA_18-20_BOWL_#1.jpg,"{'breeder': 'KOSHIJI (KASE)', 'length_inches': '18""-20""', 'gender': '', 'certificate': False, 'age': '2sai', 'multiple_fish': True}",KOSHIJI (KASE),"18""-20""",,False,2sai,True
