uuid,link,title,price,sku,details,image,image_url,breeder,length_inches,tags
d7c302,https://www.grandkoi.com/product/high-quality-showa-8098/,High Quality showa- SOLD,,8098,['Breeder: Sakai<br>Inches: 30</br>'],grandkoi_data/d7c302_High Quality showa- SOLD.jpeg,https://www.grandkoi.com/wp-content/uploads/2024/10/Showa-30-inches-Sakai-300x450.jpeg,Sakai,30.0,['showa']
12a49e,https://www.grandkoi.com/product/gin-rin-showa-8097/,High Quality Gin Rin Showa- SOLD,"$34,999.00",8097,['Breeder: Sakai<br>Inches: 32</br>'],grandkoi_data/12a49e_High Quality Gin Rin Showa- SOLD.jpeg,https://www.grandkoi.com/wp-content/uploads/2024/09/ginrin-showa-32-inches-300x450.jpeg,Sakai,32.0,"['Gin', 'Rin', 'Showa']"
9ac3a8,https://www.grandkoi.com/product/high-quality-gin-rin-8096/,High Quality Gin Rin showa- SOLD,"$34,999.00",8096,['Breeder: Sakai<br>Inches: 32</br>'],grandkoi_data/9ac3a8_High Quality Gin Rin showa- SOLD.jpeg,https://www.grandkoi.com/wp-content/uploads/2024/09/Gin-rin-showa-32-inches-2-300x450.jpeg,Sakai,32.0,"['Gin', 'Rin', 'showa']"
adf84d,https://www.grandkoi.com/product/karashigoi-8092/,Karashigoi,"$32,999.00",8092,"['Breeder: Dainichi', 'Inches: 36']",grandkoi_data/adf84d_Karashigoi.jpeg,https://www.grandkoi.com/wp-content/uploads/2024/09/karashigoi-36-inches-300x450.jpeg,Dainichi,36.0,['Karashigoi']
a0b886,https://www.grandkoi.com/product/doitsu-kogane-ochiba-8091/,Doitsu Kogane Ochiba- SOLD,"$24,999.00",8091,"['Breeder: Marusei', 'Inches: 31']",grandkoi_data/a0b886_Doitsu Kogane Ochiba- SOLD.jpeg,https://www.grandkoi.com/wp-content/uploads/2024/09/Doitsu-Kogane-ochiba-31-inches-2-300x450.jpeg,Marusei,31.0,"['Doitsu', 'Kogane', 'Ochiba']"
6674d3,https://www.grandkoi.com/product/doitsu-kogane-8090/,Doitsu Kogane Ochiba- SOLD,"$24,999.00",8090,"['Breeder: Marusei', 'Inches: 31']",grandkoi_data/6674d3_Doitsu Kogane Ochiba- SOLD.jpeg,https://www.grandkoi.com/wp-content/uploads/2024/09/Doitsu-Kogane-ochiba-31-inches-300x450.jpeg,Marusei,31.0,"['Doitsu', 'Kogane', 'Ochiba']"
66c804,https://www.grandkoi.com/product/gin-rin-karashigoi-8089/,Gin Rin Karashigoi,"$6,999.00",8089,"['Breeder: Dainichi', 'Inches: 28']",grandkoi_data/66c804_Gin Rin Karashigoi.jpeg,https://www.grandkoi.com/wp-content/uploads/2024/09/Gin-rin-karashi-28-inches-300x450.jpeg,Dainichi,28.0,"['Gin', 'Rin', 'Karashigoi']"
34353c,https://www.grandkoi.com/product/gin-rin-benigoi-8088/,Gin Rin Benigoi,"$4,999.00",8088,"['Breeder: Marusei', 'Inches: 25']",grandkoi_data/34353c_Gin Rin Benigoi.jpeg,https://www.grandkoi.com/wp-content/uploads/2024/09/Gin-rin-benigoi-25-inches-300x450.jpeg,Marusei,25.0,"['Gin', 'Rin', 'Benigoi']"
f0cfb8,https://www.grandkoi.com/product/ki-matsuba-8087/,Ki Matsuba,"$24,999.00",8087,"['Breeder: Marusei', 'Inches: 34']",grandkoi_data/f0cfb8_Ki Matsuba.jpeg,https://www.grandkoi.com/wp-content/uploads/2024/09/Ki-Matsuba-33.5-inches-300x450.jpeg,Marusei,34.0,"['Ki', 'Matsuba']"
0bd576,https://www.grandkoi.com/product/hi-utsuri-20/,Hi Utsuri,"$7,999.00",8093,"['Breeder: Marusei', 'Inches: 31']",grandkoi_data/0bd576_Hi Utsuri.jpeg,https://www.grandkoi.com/wp-content/uploads/2024/09/Hi-Utsuri-31-inches-300x450.jpeg,Marusei,31.0,"['Hi', 'Utsuri']"
b1c670,https://www.grandkoi.com/product/tancho-sanke-8086/,Tancho Sanke,"$3,499.00",8086,"['Breeder: Marusei', 'Inches: 22']",grandkoi_data/b1c670_Tancho Sanke.jpeg,https://www.grandkoi.com/wp-content/uploads/2024/08/2-tancho-sanke-22-300x450.jpeg,Marusei,22.0,"['Tancho', 'Sanke']"
58e2f4,https://www.grandkoi.com/product/tancho-sanke-8085/,Tancho Sanke,"$2,999.00",8085,"['Breeder: Marusei', 'Inches: 22']",grandkoi_data/58e2f4_Tancho Sanke.jpeg,https://www.grandkoi.com/wp-content/uploads/2024/08/tancho-sanke-22-300x450.jpeg,Marusei,22.0,"['Tancho', 'Sanke']"
f2e438,https://www.grandkoi.com/product/tancho-sanke-8084/,Tancho Sanke- Sold,,8084,"['Breeder: Marusei', 'Inches: 22']",grandkoi_data/f2e438_Tancho Sanke- Sold.jpeg,https://www.grandkoi.com/wp-content/uploads/2024/08/9-Tancho-sanke-21-inches-300x450.jpeg,Marusei,22.0,"['Tancho', 'Sanke']"
9cd58f,https://www.grandkoi.com/product/gin-rin-tancho-goshiki-8083/,Gin Rin Tancho Goshiki,"$3,999.00",8083,"['Breeder: Hiroi', 'Inches: 21.5']",grandkoi_data/9cd58f_Gin Rin Tancho Goshiki.jpeg,https://www.grandkoi.com/wp-content/uploads/2024/08/5-Tancho-Goshiki-20.5-inches-300x450.jpeg,Hiroi,21.0,"['Gin', 'Rin', 'Tancho', 'Goshiki']"
64c486,https://www.grandkoi.com/product/tancho-goshiki-8082/,Tancho Goshiki,"$4,999.00",8082,"['Breeder: Hiroi', 'Inches: 26']",grandkoi_data/64c486_Tancho Goshiki.jpeg,https://www.grandkoi.com/wp-content/uploads/2024/08/6-Tancho-Goshiki-25-inches-300x450.jpeg,Hiroi,26.0,"['Tancho', 'Goshiki']"
fa49a7,https://www.grandkoi.com/product/gin-rin-showa-8081/,Gin Rin Showa,$699.00,8081,"['Breeder: Hiroi', 'Inches: 17']",grandkoi_data/fa49a7_Gin Rin Showa.jpeg,https://www.grandkoi.com/wp-content/uploads/2024/08/4-gin-showa-16-inches-300x450.jpeg,Hiroi,17.0,"['Gin', 'Rin', 'Showa']"
776d53,https://www.grandkoi.com/product/ginrin-showa-8079/,GinRin Showa- SOLD,,8079,"['Breeder: Hiroi', 'Inches: 19']",grandkoi_data/776d53_GinRin Showa- SOLD.jpeg,https://www.grandkoi.com/wp-content/uploads/2024/08/2-gin-showa-18-inches-300x450.jpeg,Hiroi,19.0,"['GinRin', 'Showa']"
