,link,title,category,price,sku,image,image_url
02f31ccb,https://nextdaykoi.com/product/3-5-imported-shusui-12/,3.5” Imported Shusui,"['Asagi and Shusui', 'Imported Koi', 'Koi', 'Shusui', 'Single Fish', 'Single Koi']",$30.00,HS0505G01515C14,nextdaykoi_data/02f31ccb_3.5”_Imported_Shusui.jpg,https://d2e07cbkdk0gwy.cloudfront.net/wp-content/uploads/2025/05/2025.05.05_G_015_15C-69.jpg
bec4495e,https://nextdaykoi.com/product/3-5-imported-kohaku-20/,3.5” Imported Kohaku,"['Gosanke', 'Imported Koi', 'Kohaku', 'Koi', 'Single Fish', 'Single Koi']",$30.00,HS0505G01515C13,nextdaykoi_data/bec4495e_3.5”_Imported_Kohaku.jpg,https://d2e07cbkdk0gwy.cloudfront.net/wp-content/uploads/2025/05/2025.05.05_G_015_15C-64.jpg
62543bb1,https://nextdaykoi.com/product/3-5-imported-armor-scaled-hariwake-3/,3.5” Imported Armor Scaled Hariwake,"['All Hikari Koi', 'Hariwake', 'Hikarimoyo', 'Imported Koi', 'Koi', 'Single Fish', 'Single Koi']",$30.00,HS0505G01515C11,nextdaykoi_data/62543bb1_3.5”_Imported_Armor_Scaled_Hariwake.jpg,https://d2e07cbkdk0gwy.cloudfront.net/wp-content/uploads/2025/05/2025.05.05_G_015_15C-54.jpg
ea7ff9e9,https://nextdaykoi.com/product/3-5-imported-beni-kumonryu/,3.5” Imported Doitsu Aka Bekko,"['Aka Bekko', 'Bekko', 'Imported Koi', 'Koi', 'Single Fish', 'Single Koi']",$30.00,HS0505G01515C10,nextdaykoi_data/ea7ff9e9_3.5”_Imported_Doitsu_Aka_Bekko.jpg,https://d2e07cbkdk0gwy.cloudfront.net/wp-content/uploads/2025/05/2025.05.05_G_015_15C-49.jpg
f6ec77bc,https://nextdaykoi.com/product/3-5-imported-gin-rin-hariwake-11/,3.5” Imported Gin Rin Hariwake,"['All Hikari Koi', 'Hariwake', 'Hikarimoyo', 'Imported Koi', 'Koi', 'Single Fish', 'Single Koi']",$30.00,HS0505G01515C08,nextdaykoi_data/f6ec77bc_3.5”_Imported_Gin_Rin_Hariwake.jpg,https://d2e07cbkdk0gwy.cloudfront.net/wp-content/uploads/2025/05/2025.05.05_G_015_15C-39.jpg
0b5d40ad,https://nextdaykoi.com/product/3-imported-gin-rin-hariwake-5/,3” Imported Gin Rin Hariwake,"['All Hikari Koi', 'Hariwake', 'Hikarimoyo', 'Imported Koi', 'Koi', 'Single Fish', 'Single Koi']",$30.00,HS0505G01515C07,nextdaykoi_data/0b5d40ad_3”_Imported_Gin_Rin_Hariwake.jpg,https://d2e07cbkdk0gwy.cloudfront.net/wp-content/uploads/2025/05/2025.05.05_G_015_15C-33.jpg
c45acfbd,https://nextdaykoi.com/product/3-imported-doitsu-gin-shiro-bekko-4/,3” Imported Doitsu Gin Shiro Bekko,"['Bekko', 'Imported Koi', 'Koi', 'Shiro Bekko', 'Single Fish', 'Single Koi']",$30.00,HS0505G01515C04,nextdaykoi_data/c45acfbd_3”_Imported_Doitsu_Gin_Shiro_Bekko.jpg,https://d2e07cbkdk0gwy.cloudfront.net/wp-content/uploads/2025/05/2025.05.05_G_015_15C-18.jpg
5a01311a,https://nextdaykoi.com/product/3-imported-kikusui-3/,3” Imported Kikusui,"['All Hikari Koi', 'Hikarimoyo', 'Imported Koi', 'Kikusui', 'Koi', 'Single Fish', 'Single Koi']",$30.00,HS0505G01515C02,nextdaykoi_data/5a01311a_3”_Imported_Kikusui.jpg,https://d2e07cbkdk0gwy.cloudfront.net/wp-content/uploads/2025/05/2025.05.05_G_015_15C-8.jpg
242d5fc1,https://nextdaykoi.com/product/3-imported-gin-rin-kujaku-2/,3” Imported Gin Rin Kujaku,"['Hikarimoyo', 'Imported Koi', 'Koi', 'Kujaku', 'Single Fish', 'Single Koi']",$30.00,HS0505G01515C01,nextdaykoi_data/242d5fc1_3”_Imported_Gin_Rin_Kujaku.jpg,https://d2e07cbkdk0gwy.cloudfront.net/wp-content/uploads/2025/05/2025.05.05_G_015_15C-3.jpg
39588b76,https://nextdaykoi.com/product/lot-of-5-2-5-3-imported-assorted-oranda-6/,Lot of (5) 2.5-3” Imported Assorted Oranda,"['EFP Goldfish Lots', 'Goldfish For Sale', 'Imported Goldfish', 'Oranda']",$90.00,H0502K51B04715C01,nextdaykoi_data/39588b76_Lot_of_(5)_2.5-3”_Imported_Assorted_Oranda.jpg,https://d2e07cbkdk0gwy.cloudfront.net/wp-content/uploads/2025/05/2025.05.02_K_51_15C-40.jpg
