,link,title,category,out_of_stock,price,sku,image,image_url
cd3cf5,https://sacramentokoi.com/ai-goromo-10-240054222/,Ai Goromo 10″ – 240054222,Goromo,True,$150.00,240054222,sacramentokoi_data/cd3cf5_Ai_Goromo_10″_–_240054222.jpg,https://sacramentokoi.com/wp-content/uploads/2024/12/240054222-1-247x437.jpg
617c1b,https://sacramentokoi.com/ai-goromo-20-240389171/,Ai Goromo 20″ – 240389171,Female,True,"$1,200.00",240389171,sacramentokoi_data/617c1b_Ai_Goromo_20″_–_240389171.jpg,https://sacramentokoi.com/wp-content/uploads/2024/12/240389171-2.jpg
5027b5,https://sacramentokoi.com/ai-goromo-23-240396257/,Ai Goromo 23″ – 240396257,Female,True,"$1,200.00",240396257,sacramentokoi_data/5027b5_Ai_Goromo_23″_–_240396257.jpg,https://sacramentokoi.com/wp-content/uploads/2024/12/240396257-2.jpg
ebda82,https://sacramentokoi.com/ai-goromo-24-231616208/,Ai Goromo 27″ – 231616208,Female,True,"$4,200.00",231616208,sacramentokoi_data/ebda82_Ai_Goromo_27″_–_231616208.jpg,https://sacramentokoi.com/wp-content/uploads/2024/12/231616208-247x437.jpg
10edc1,https://sacramentokoi.com/aka-matsuba-11-240054184/,Aka Matsuba 11″ – 240054184,Koi,True,$175.00,240054184,sacramentokoi_data/10edc1_Aka_Matsuba_11″_–_240054184.jpg,https://sacramentokoi.com/wp-content/uploads/2024/12/240054184-1-247x437.jpg
29fb30,https://sacramentokoi.com/aka-matsuba-11-240054223/,Aka Matsuba 11″ – 240054223,Koi,True,$175.00,240054223,sacramentokoi_data/29fb30_Aka_Matsuba_11″_–_240054223.jpg,https://sacramentokoi.com/wp-content/uploads/2024/12/240054223-1-247x438.jpg
bfa280,https://sacramentokoi.com/aka-matsuba-12-240054189/,Aka Matsuba 12″ – 240054189,Koi,True,$175.00,240054189,sacramentokoi_data/bfa280_Aka_Matsuba_12″_–_240054189.jpg,https://sacramentokoi.com/wp-content/uploads/2024/12/240054189-1-247x437.jpg
89ee59,https://sacramentokoi.com/aka-matsuba-17-240247136/,Aka Matsuba 17″ – 240247136,Female,True,$750.00,240247136,sacramentokoi_data/89ee59_Aka_Matsuba_17″_–_240247136.jpg,https://sacramentokoi.com/wp-content/uploads/2024/12/240247136-2.jpg
67978a,https://sacramentokoi.com/aka-matsuba-17-240247138/,Aka Matsuba 17″ – 240247138,Female,True,$750.00,240247138,sacramentokoi_data/67978a_Aka_Matsuba_17″_–_240247138.jpg,https://sacramentokoi.com/wp-content/uploads/2024/12/240247138-2.jpg
c36e26,https://sacramentokoi.com/aka-matsuba-18-240247137/,Aka Matsuba 18″ – 240247137,Koi,True,$750.00,240247137,sacramentokoi_data/c36e26_Aka_Matsuba_18″_–_240247137.jpg,https://sacramentokoi.com/wp-content/uploads/2024/12/240247137-2.jpg
358afa,https://sacramentokoi.com/aka-matsuba-23-240935155/,Aka Matsuba 23″ – 240935155,Female,True,"$2,500.00",240935155,sacramentokoi_data/358afa_Aka_Matsuba_23″_–_240935155.jpg,https://sacramentokoi.com/wp-content/uploads/2024/12/240935155-2.jpg
4076d6,https://sacramentokoi.com/albino-karashigoi-22-240401268/,Albino Karashigoi 22″ – 240401268,Female,True,"$1,200.00",240401268,sacramentokoi_data/4076d6_Albino_Karashigoi_22″_–_240401268.jpg,https://sacramentokoi.com/wp-content/uploads/2024/12/240401268-2.jpg
